ITEM NAME,QUANTITY,VENDOR,MONTH,YEAR,CATEGORY
FORACORT-0.5MG/2ML RESPULES,105,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
FORCAN 200MG TAB,4,APOLLO PHARMACY,December,2024,Pharmaceuticals
FYCOMPA 2MG TAB,28,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
FYCOPMA 4MG,28,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
GABAPIN NT TABLET,45,VEER HEALTH CARE,December,2024,Ortho
GABAPIN NT200MG,45,VEER HEALTH CARE,December,2024,Ortho
GASO-GEL SYRUP 170ML,17,V K MEDICALS,December,2024,Dermatology
GAUZE BMT 100 CM X 18 MTR,40,R&R SURGICALS,December,2024,General/Consumables
GEMER 0.5MG TAB,180,VEER HEALTH CARE,December,2024,Pharmaceuticals
GEMER 1MG TAB,270,VEER HEALTH CARE,December,2024,Pharmaceuticals
GEMER 2MG TABLET,225,VEER HEALTH CARE,December,2024,Pharmaceuticals
GEMER 3MG TABLET,60,VEER HEALTH CARE,December,2024,Pharmaceuticals
GEMER 4MG TABLET,100,VEER HEALTH CARE,December,2024,Pharmaceuticals
GENSTATIN 100000 IU,25,HEALTH PHARMA,December,2024,Miscellaneous
GENSTATIN 1L IU,5,HEALTH PHARMA,December,2024,Miscellaneous
GLIMISAVE M1 X TABLET,4,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
GLIMISAVE M2 X TABLET,4,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
GLOVE 6.5,10,LAALITHYAM HOSPITALS PVT LTD,December,2024,Surgical
GLOVE 7.0,113,LAALITHYAM HOSPITALS PVT LTD,December,2024,Surgical
GLOVE 7.5,108,LAALITHYAM HOSPITALS PVT LTD,December,2024,Surgical
GLYCERIN 100 GM,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
GLYCINE 3000ML,8,KODANDAPANI MEDICALS,December,2024,Pharmaceuticals
GLYCOMET 1GM TAB,180,VEER HEALTH CARE,December,2024,Pharmaceuticals
GLYCOMET 500MG TABLET,440,VEER HEALTH CARE,December,2024,Pharmaceuticals
GLYCOMET SR 500 MG TAB,180,VEER HEALTH CARE,December,2024,Pharmaceuticals
GUEDAL AIRWAYS NO. 2  (ROMSONS),40,R&R SURGICALS,December,2024,Miscellaneous
HALOVATE F OINTMENT 15 GM,2,APOLLO PHARMACY,December,2024,Dermatology
HAND RUB 500ML,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
HCQS.TAB,525,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
HEAD CAPS (F),1233,R&R SURGICALS,December,2024,Pharmaceuticals
HEMODIALYSIS TRIPLE LUMEN CATHETER,10,R&R SURGICALS,December,2024,Urology
HEPA CAREE 10ML INJ,56,V K MEDICALS,December,2024,Pharmaceuticals
HEPAMERZ GRANULES,6,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Miscellaneous
HEPTAGON TABS,200,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
HEXIDINE SMAL,20,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Miscellaneous
HIFENAC P TAB,360,VEER HEALTH CARE,December,2024,Pharmaceuticals
HME FILTER ADULT ( ROMSONS ),20,R&R SURGICALS,December,2024,Miscellaneous
HOSPAL-G-PLUS,4,R&R SURGICALS,December,2024,Miscellaneous
HUMAN ACTRAPID 40 IU INJ,23,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
HUMAN INSULATAD 40 IU INJ,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
HUMAN MIXTARD 100 IV,5,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Miscellaneous
HUMAN MIXTARD 40 IU INJ,25,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
HYDROGEN PEROXIDE 100ML,10,R&R SURGICALS,December,2024,Pharmaceuticals
IBUGESIC-PLUS SYRUP 100ML,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
IME CILA 500 MG INJ,39,HEALTH PHARMA,December,2024,Pharmaceuticals
INDERAL-10MG. TAB,90,VEER HEALTH CARE,December,2024,Pharmaceuticals
INFLUVAC TETRA INJ 0.5ML,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
INJEK 0.5ML,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
INSTGRA 50MG TAB,60,SUMAN SPECIALTIES,December,2024,Pharmaceuticals
INTRA CATH  22G,100,R&R SURGICALS,December,2024,Miscellaneous
INTRA CATH 18G,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
INTRA CATH 20G,202,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
IPRAX LMOL (DUOLIN) RESP,8,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
ISOLAZINE TAB,135,VEER HEALTH CARE,December,2024,Pharmaceuticals
ISTAMET 50/1000 MG TAB,60,VEER HEALTH CARE,December,2024,Pharmaceuticals
ISTAMET-50/500,30,VEER HEALTH CARE,December,2024,Miscellaneous
ISTAMET-50MG/500MG TAB,270,VEER HEALTH CARE,December,2024,Pharmaceuticals
ISTAVEL 100MG TABLET,100,VEER HEALTH CARE,December,2024,Pharmaceuticals
ISTAVEL 50MG TABLET,80,VEER HEALTH CARE,December,2024,Pharmaceuticals
IV SET,500,R&R SURGICALS,December,2024,General/Consumables
IV SET (ROMSONS),8,LAALITHYAM HOSPITALS PVT LTD,December,2024,General/Consumables
IVABRAD-5MG TAB,90,VEER HEALTH CARE,December,2024,Pharmaceuticals
JMS PAPAER TAPE 3INCH,16,R&R SURGICALS,December,2024,Wound Care
JUSTIN 12.5,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
JUSTIN-100MG SUPPOSITORIES,4,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
K WIRES,1,SHREE MITHRA SURGICALS,December,2024,Ortho
K-CIT 200 ML,10,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
KEPDOX 200MG,500,V K MEDICALS,December,2024,Pharmaceuticals
KETMIN 50MG INJ,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
KETRAL INJ,50,V K MEDICALS,December,2024,Pharmaceuticals
KLARIMAC 500MG INJ,53,V K MEDICALS,December,2024,Pharmaceuticals
KLIK  CLAMP,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
KLOTIN 5ML INJ,109,HEALTH PHARMA,December,2024,Pharmaceuticals
KOLIBITOR 10ML INJ,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
KOLIBITOR 5ML,10,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
LACTIFIBER-90 GM,4,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Radiology
LACTIHEP SYRUP 200 ML,6,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
LASIX-4ML,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
LEVAH-MK SYP,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
LEVAH-MK TAB,1002,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
LEVICEL 500 TAB,600,V K MEDICALS,December,2024,Pharmaceuticals
LEVIPIL-500MG TAB,60,VEER HEALTH CARE,December,2024,Pharmaceuticals
LEVOCET 5 MG TAB,240,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
LEVOFLOX 750MG,30,VEER HEALTH CARE,December,2024,Pharmaceuticals
LEVOLIN  INHALER,5,VEER HEALTH CARE,December,2024,Respiratory
LEVOLIN 0.63 MG RESPULES,12,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
LEVOMOLO.63,10,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
LEXANOX PLUS ORAL PASTE,6,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Miscellaneous
LINETIC INJ,6,HEALTH PHARMA,December,2024,Pharmaceuticals
LIZOMAC 600MG TABLET,40,VEER HEALTH CARE,December,2024,Pharmaceuticals
LIZOMAC-600 MG TAB,40,VEER HEALTH CARE,December,2024,Pharmaceuticals
LOBUN FORTE,220,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Miscellaneous
LONG PROXIMAL FEMUR NAIL (LVM),1,SHREE MITHRA SURGICALS,December,2024,Ortho
LOOZ ENEMA 275 ML,6,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
LOX  2% 30GR GELLY,40,HEALTH PHARMA,December,2024,Dermatology
LOX-2% 30ML INJ,20,HEALTH PHARMA,December,2024,Pharmaceuticals
LOX-2% ADRENALINE INJ,10,HEALTH PHARMA,December,2024,Pharmaceuticals
MAGNESIUM SULPHATE POWDER,40,R&R SURGICALS,December,2024,Miscellaneous
MAHAFLOX OINT,1,APOLLO PHARMACY,December,2024,Miscellaneous
MAINTAIN 250MG INJ,2,VEER HEALTH CARE,December,2024,Pharmaceuticals
MAROPEN 1GM INJ,296,V K MEDICALS,December,2024,Pharmaceuticals
MAXTRA.60ML.SYP,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
MEDIGRIP IV FIX,612,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
MEFTAL SPAS TAB,50,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
MEFTAL-P SYRUP,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
MET XL 25 MG TAB,200,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
META-500 TAB,500,V K MEDICALS,December,2024,Pharmaceuticals
METGLI-1 TAB,1000,V K MEDICALS,December,2024,Pharmaceuticals
METGLI-2 TAB,1000,V K MEDICALS,December,2024,Pharmaceuticals
METOSARTAN 50MG TABLET,100,VEER HEALTH CARE,December,2024,Pharmaceuticals
METOSARTAN LN 50MG,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
METOSARTAN LN-25 MG,100,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
METRO IV 100 ML,212,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
METROGYL-400MG.TAB,150,VEER HEALTH CARE,December,2024,Pharmaceuticals
MINIPRESS XL 5 MG TAB,120,VEER HEALTH CARE,December,2024,Pharmaceuticals
MONOGLYDE SN 1326,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
MONTEK AB TAB,50,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
MOPS,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
MOPS 30 X 30 CM,110,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
MOVICOL -LIQUID,10,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Miscellaneous
MOVICOL LIQUID SYP,20,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Miscellaneous
MOXICIP EYE DROPS,6,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
MOXICIP EYE OINTMENT,1,VASAVI MEDICAL HALL,December,2024,Dermatology
MUCUS  EXTRACTOR,50,R&R SURGICALS,December,2024,Radiology
MUCYST  600 MG TAB,100,HEALTH PHARMA,December,2024,Pharmaceuticals
MUCYST 2 ML INJ,400,HEALTH PHARMA,December,2024,Pharmaceuticals
MUCYST 600MG TAB,400,HEALTH PHARMA,December,2024,Pharmaceuticals
MULTI-V SOFT GEL CAP,200,V K MEDICALS,December,2024,Dermatology
MUPIRED-10GM,45,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
MYORIL-4MG.TAB,70,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
MYPRED 500MG(METHYL PREDNISLONE),20,HEALTH PHARMA,December,2024,Pharmaceuticals
NASOCLEAR 20ML NASAL DROPS,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
NC ADVA GLIDE PTCA BALLOON 2.0*8,1,DVK SURGICALS,December,2024,Cardiology
NEBULIZER  MASK (ADULT),20,R&R SURGICALS,December,2024,Respiratory
NEBULIZER  MASK (PAED),4,LAALITHYAM HOSPITALS PVT LTD,December,2024,Respiratory
NEBULIZER MASK ADULT,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Respiratory
NEOMIZ-200,4,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
NEOMOL 2ML AMP,150,HEALTH PHARMA,December,2024,Pharmaceuticals
NEOPRATE 100MG,59,HEALTH PHARMA,December,2024,Pharmaceuticals
NERVE-LC TAB,500,V K MEDICALS,December,2024,Pharmaceuticals
NIV MASK M,9,R&R SURGICALS,December,2024,Respiratory
NODOSIS 500 MG TAB,180,VEER HEALTH CARE,December,2024,Pharmaceuticals
NORAD INJ,100,HEALTH PHARMA,December,2024,Pharmaceuticals
NORAD-2ML INJ,500,HEALTH PHARMA,December,2024,Pharmaceuticals
NOSYCURE-10ML DROPS (XYLOMETAZOLINE),1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
NS 0.45% 500 ML,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
NS 100 ML,1020,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
NS 100 ML (STERIDRIP),2017,KODANDAPANI MEDICALS,December,2024,Pharmaceuticals
NS 1000ML,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
NS 3% 100 ML,53,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
NS 500 ML,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
NS 500 ML (STERIDRIP),762,KODANDAPANI MEDICALS,December,2024,Pharmaceuticals
OCTOPUS 2WAY,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Radiology
OFLO-Q PLUS TABLET,100,V K MEDICALS,December,2024,Pharmaceuticals
OFLOX--OZ TAB,400,VEER HEALTH CARE,December,2024,Pharmaceuticals
OPTINEURON INJ,500,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
OTRIVIN (PAED) NASAL DROPS 10ML,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
OTRIVIN 10 ML ADULT NASAL DROPS,3,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
OXYGEN  MASK (ADULT),40,R&R SURGICALS,December,2024,Respiratory
OXYGEN MASK ADULT (RAMSONS FLEXI MASK),80,R&R SURGICALS,December,2024,Respiratory
OXYSET (ADULT),120,R&R SURGICALS,December,2024,Miscellaneous
OXYSET (CHILD),1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
PANKREOFLAT TABLET,30,VEER HEALTH CARE,December,2024,Pharmaceuticals
PANTOCEL 40 INJE,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
PANTOCEL 40 INJEC,826,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
PANTOCID IT,30,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Miscellaneous
PANTOP DSR TAB,75,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
PANTORED-40TAB,1000,V K MEDICALS,December,2024,Pharmaceuticals
PANTORED-DSR CAP,1000,V K MEDICALS,December,2024,Pharmaceuticals
PARAID 100ML IV,309,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
PARAID-650,1500,V K MEDICALS,December,2024,Miscellaneous
PERINORM 2 ML INJ,30,HEALTH PHARMA,December,2024,Pharmaceuticals
PERLIN-T INJ 4.5,180,V K MEDICALS,December,2024,Pharmaceuticals
PLAIN SHEET LARGE,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
PM LINE 200CMS (ROMSONS),2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
PM LINE M/M  200CM (ROMSONS),101,R&R SURGICALS,December,2024,Miscellaneous
POCT GLUCOSPOT STRIPS,2000,R&R SURGICALS,December,2024,Radiology
POCT LANCET ROUND,2000,R&R SURGICALS,December,2024,Radiology
POLYIV 500000UNITS,10,HEALTH PHARMA,December,2024,Miscellaneous
POTCL INJ,100,HEALTH PHARMA,December,2024,Pharmaceuticals
POTKLOR 200 ML SYR,10,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
POTLYTE 10ML INJ (POTASSIUM CHLORIDE),35,HEALTH PHARMA,December,2024,Pharmaceuticals
POVID 500ML,4,R&R SURGICALS,December,2024,Pharmaceuticals
POVID IODINE 5% 100ML,4,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
PRO ALL POWDER,20,V K MEDICALS,December,2024,Miscellaneous
PROHANCE D POWDER,5,APOLLO PHARMACY,December,2024,Miscellaneous
PROLOMET XL 25,90,VEER HEALTH CARE,December,2024,Miscellaneous
PROLOMET XL 50MG TB,105,VEER HEALTH CARE,December,2024,Pharmaceuticals
PSORID 100MG TAB,10,APOLLO PHARMACY,December,2024,Pharmaceuticals
PULMOCLEAR SYRUP 100ML,21,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
PULMOCLEAR SYRUP 60ML,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
PYROLATE-1ML INJ,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
RECLIDE 40MG TAB,125,VEER HEALTH CARE,December,2024,Pharmaceuticals
REDCORT-6TAB,500,V K MEDICALS,December,2024,Pharmaceuticals
REDOTIL SACHET 10MG,9,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
REFRESH TEARS 10 ML,10,VEER HEALTH CARE,December,2024,Pharmaceuticals
RESPIROMETER,20,R&R SURGICALS,December,2024,Miscellaneous
RICOVIR -EM,1,SUMAN SPECIALTIES,December,2024,Miscellaneous
RIFAGUT 400 MG TAB,70,VEER HEALTH CARE,December,2024,Pharmaceuticals
RIFGUARD 400MG TABLET,165,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
RL 500 ML STERIDRIP,261,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
RL 500ML,5,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
ROMOFLOW(ROMSONS),2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
ROMSONS WET WIPES,144,R&R SURGICALS,December,2024,Miscellaneous
ROPIN-0.75% 20ML V,5,HEALTH PHARMA,December,2024,Ortho
ROSUVAS F - 10 MG TAB,120,VEER HEALTH CARE,December,2024,Pharmaceuticals
ROSUVAS-10 MG TABLET,150,VEER HEALTH CARE,December,2024,Pharmaceuticals
RYLES TUBE--- 16G,50,R&R SURGICALS,December,2024,Gastroenterology
SAFE HAND M,7,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
SARTEL LN 40MG TABLET,4,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
SEROFLO 250MCG INHALER,1,APOLLO PHARMACY,December,2024,Respiratory
SILODERM CREAM- 20G,1,APOLLO PHARMACY,December,2024,Dermatology
SKIN GRAFTING HANDLE SS,1,SRI SWAGATH ENTERPRISES 24-25,December,2024,Dermatology
SKIN STAPLER PMW35,20,HEALTH PHARMA,December,2024,Surgical
SODAC 25 ML INJ (SODIUM BICARBONATE),80,HEALTH PHARMA,December,2024,Pharmaceuticals
"SOFT ROLL (15 CM X 3) 6""",60,R&R SURGICALS,December,2024,Miscellaneous
SOMPRAZ HP KIT TAB,5,VEER HEALTH CARE,December,2024,Pharmaceuticals
SPEGRA 25MG,60,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Pharmaceuticals
SPINAL NEEDLE 25 G,3,LAALITHYAM HOSPITALS PVT LTD,December,2024,Ortho
STAMLO 5 MG TAB,240,VEER HEALTH CARE,December,2024,Pharmaceuticals
STAMLO-10 MG TAB,600,VEER HEALTH CARE,December,2024,Pharmaceuticals
STEMETIL MD 5 MG TAB,90,VEER HEALTH CARE,December,2024,Pharmaceuticals
STUGERON-25 MG TABLETS,100,VEER HEALTH CARE,December,2024,Pharmaceuticals
SUCRAL SYP,4,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Miscellaneous
SUCRED  O 100 ML SYP,105,V K MEDICALS,December,2024,Pharmaceuticals
SUPRAS SPLINT -2,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
SUPRAS SPLINT 3,4,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
SURGICAL BLADE 11 (SURGEON),1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Surgical
SURGICAL BLADE 22,3,LAALITHYAM HOSPITALS PVT LTD,December,2024,Surgical
SURGICAL GOWN (BED SHEET),2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Surgical
SURGICAL SPIRIT 100ML,10,R&R SURGICALS,December,2024,Surgical
SYR  10 ML (NUSAFE),1046,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR  1ML.B.D (INSULIN),1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR  2ML BD,35,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR  2ML NUSAFE,2017,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR  5ML (NUSAFE),16,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR  5ML BD,58,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR 10 ML (NUSAFE),1000,R&R SURGICALS,December,2024,Pharmaceuticals
SYR 10ML BD,27,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR 20 ML,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR 20ML,50,R&R SURGICALS,December,2024,Pharmaceuticals
SYR 2ML BD..,24,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR 5 ML (LIFELONG),5,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYR 50 ML( DISPO),52,R&R SURGICALS,December,2024,Pharmaceuticals
SYR 5ML  (NUSAFE),2000,R&R SURGICALS,December,2024,Pharmaceuticals
SYRINGE 1 ML (DISPOVAN),2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYRINGE 2 ML (DISPOVAN),5,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
SYRINGES 20ML( DISPO),1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
TAXIM-1GM INJ,9,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
T-BACT,25,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Radiology
TEICOBIOTIC 400,30,HEALTH PHARMA,December,2024,Miscellaneous
TELMA 40 MG TAB,360,VEER HEALTH CARE,December,2024,Pharmaceuticals
TELMA 80MG TAB,120,VEER HEALTH CARE,December,2024,Pharmaceuticals
TELMA H 40 MG TAB,90,VEER HEALTH CARE,December,2024,Pharmaceuticals
TELMA-20 MG TAB,180,VEER HEALTH CARE,December,2024,Pharmaceuticals
TELMA--AM TAB,240,VEER HEALTH CARE,December,2024,Pharmaceuticals
TELVAS BETA 25 MG TAB,300,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
TELVAS CT 40MG TAB,60,VEER HEALTH CARE,December,2024,Pharmaceuticals
TESS OINTMENT 5GM,5,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Dermatology
THROMBOPHOB OINTMENT 20GM,16,KRISHNA PHARMACEUTICAL DISTRIBUTORS,December,2024,Dermatology
THYRONORM 12.5 MCG,3,VEER HEALTH CARE,December,2024,Miscellaneous
THYRONORM 12.5 MCG TAB,3,VEER HEALTH CARE,December,2024,Pharmaceuticals
THYRONORM 25MG TAB,5,VEER HEALTH CARE,December,2024,Pharmaceuticals
TIGESTAT 50MG,10,LAALITHYAM HOSPITALS PVT LTD,December,2024,Pharmaceuticals
TOBA EYE DROPS,10,VEER HEALTH CARE,December,2024,Pharmaceuticals
"TRANSPORE  2""",18,R&R SURGICALS,December,2024,Miscellaneous
"TRANSPORE  3""INCH",16,R&R SURGICALS,December,2024,Miscellaneous
T-RECOVERY KIT,50,R&R SURGICALS,December,2024,Miscellaneous
TRIMMER PLUS (PREP RAZOR),205,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
TRIVOLIB 1MG TABLET,150,VEER HEALTH CARE,December,2024,Pharmaceuticals
TRIVOLIB 2MG TABLET,60,VEER HEALTH CARE,December,2024,Pharmaceuticals
TROPINE INJ,100,HEALTH PHARMA,December,2024,Ortho
TROYSUNATE 120MG (ARTESUNATE),10,HEALTH PHARMA,December,2024,Pharmaceuticals
TRUGLIDE-SN2826,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
TRUGLYDE SN 2347(1 R/B),7,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
TRUGLYDE SN 2421(1.0 CUTT),24,R&R SURGICALS,December,2024,Miscellaneous
TRULENE NO.1 SN 883,1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
TRULOOP TL 2215,42,R&R SURGICALS,December,2024,Miscellaneous
TRUSILK NO. 1 SN5062 (R/C),1,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
TYNOR ABDL BELT (L) A-01,1,R&R SURGICALS,December,2024,Miscellaneous
TYNOR ARM SLING POUCH LARGE,4,R&R SURGICALS,December,2024,Miscellaneous
TYNOR ARM SLING POUCH MEDIUM,6,R&R SURGICALS,December,2024,Miscellaneous
TYNOR CERVICAL COLLAR SIZE M,6,R&R SURGICALS,December,2024,Miscellaneous
TYNOR CLEVICLE BRACE L,3,R&R SURGICALS,December,2024,Miscellaneous
TYNOR CLEVICLE BRACE M,2,R&R SURGICALS,December,2024,Miscellaneous
TYNOR FOOT DROP SIZE RIGHT M,2,R&R SURGICALS,December,2024,Miscellaneous
TYNOR FOOT DROP SPLINT SIZE LEFT M,2,R&R SURGICALS,December,2024,Miscellaneous
TYNOR KNEE CAP L,4,R&R SURGICALS,December,2024,Ortho
TYNOR KNEE CAP M,4,R&R SURGICALS,December,2024,Ortho
TYNOR LS BELT L,4,R&R SURGICALS,December,2024,Miscellaneous
ULTRA D3 SYP,2,LAALITHYAM HOSPITALS PVT LTD,December,2024,Miscellaneous
ULTRACET TABLET,75,VEER HEALTH CARE,December,2024,Pharmaceuticals
URISPAS TABLET,90,SUMAN AGENCIES HYD PRIVATE LIMITED,December,2024,Pharmaceuticals
UROBAG   (ROMSONS),3,LAALITHYAM HOSPITALS PVT LTD,December,2024,Urology
UROMETER,90,R&R SURGICALS,December,2024,Urology
URSOLIV-300 TAB,1000,V K MEDICALS,December,2024,Pharmaceuticals
